STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYWETBULBTEMPF,HOURLYDewPointTempF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 0:15,FM-15,CLR:00,10,,75,68.0,64,69.0,9,210,18,30.04
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 0:35,FM-15,CLR:00,10,,75,68.0,64,69.0,6,210,17,30.03
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 0:55,FM-15,CLR:00,10,,73,67.0,64,74.0,10,VRB,16,30.03
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 1:15,FM-15,CLR:00,10,,73,67.0,64,74.0,6,210,,30.02
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 1:35,FM-15,CLR:00,10,,73,69.0,66,78.0,5,200,,30.01
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 1:55,FM-15,CLR:00,10,,72,68.0,66,83.0,0,0,,30.01
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 2:15,FM-15,CLR:00,10,,72,68.0,66,83.0,5,200,,30.01
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 2:35,FM-15,CLR:00,10,,72,68.0,66,83.0,5,190,,30.01
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 2:55,FM-15,SCT:04 23,10,,72,68.0,66,83.0,6,200,,30.01
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 3:15,FM-15,CLR:00,10,,72,68.0,66,83.0,0,0,,30.01
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 3:35,FM-15,CLR:00,10,,72,68.0,66,83.0,9,200,,30.01
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 3:55,FM-15,CLR:00,10,,72,68.0,66,83.0,6,200,,30
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 4:15,FM-15,CLR:00,10,,72,68.0,66,83.0,8,200,21,30
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 4:35,FM-15,CLR:00,10,,70,67.0,66,88.0,0,0,,30
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 4:55,FM-15,CLR:00,10,,70,67.0,66,88.0,0,0,,30
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 5:15,FM-15,CLR:00,10,,70,67.0,66,88.0,7,190,,30
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 5:35,FM-15,CLR:00,10,,70,67.0,66,88.0,7,180,,29.99
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 5:55,FM-15,CLR:00,10,,72,68.0,66,83.0,6,190,,30
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 6:15,FM-15,CLR:00,10,,72,68.0,66,83.0,10,200,,30
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 6:35,FM-15,CLR:00,10,,72,68.0,66,83.0,8,190,,30.01
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 6:55,FM-15,CLR:00,10,,72,68.0,66,83.0,9,VRB,17,30
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 7:15,FM-15,CLR:00,10,,73,69.0,66,78.0,14,180,18,30
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 7:35,FM-15,CLR:00,10,,73,69.0,66,78.0,7,200,23,30
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 7:55,FM-15,CLR:00,10,,75,69.0,66,74.0,5,200,17,30
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 8:15,FM-15,CLR:00,10,,75,69.0,66,74.0,8,VRB,20,29.99
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 8:35,FM-15,CLR:00,10,,75,69.0,66,74.0,14,210,22,29.99
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 8:55,FM-15,CLR:00,10,,77,70.0,66,69.0,13,VRB,24,29.98
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 9:15,FM-15,CLR:00,10,,79,71.0,66,65.0,10,VRB,21,29.98
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 9:35,FM-15,CLR:00,10,,79,71.0,66,65.0,9,VRB,20,29.98
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 9:55,FM-15,CLR:00,10,,79,71.0,66,65.0,13,VRB,21,29.97
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 10:15,FM-15,CLR:00,10,,81,71.0,66,62.0,18,VRB,24,29.96
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 10:35,FM-15,CLR:00,10,,81,71.0,66,62.0,14,180,21,29.96
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 10:55,FM-15,CLR:00,10,,82,71.0,66,58.0,16,200,25,29.95
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 11:15,FM-15,CLR:00,10,,82,71.0,66,58.0,14,190,25,29.93
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 11:35,FM-15,CLR:00,10,,82,71.0,66,58.0,13,VRB,22,29.92
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 11:55,FM-15,CLR:00,10,,84,71.0,64,51.0,9,VRB,23,29.92
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 12:15,FM-15,CLR:00,10,,84,71.0,64,51.0,14,VRB,23,29.9
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 12:35,FM-15,CLR:00,10,,84,71.0,64,51.0,14,200,24,29.89
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 12:55,FM-15,CLR:00,10,,86,72.0,64,49.0,15,VRB,28,29.88
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 13:15,FM-15,CLR:00,10,,84,71.0,64,51.0,15,200,25,29.87
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 13:35,FM-15,CLR:00,10,,88,73.0,66,49.0,10,VRB,21,29.86
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 13:55,FM-15,SCT:04 65,10,,86,72.0,64,49.0,11,VRB,22,29.85
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 14:15,FM-15,SCT:04 65,10,,86,71.0,63,46.0,15,190,25,29.84
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 14:35,FM-15,SCT:04 55,10,,86,72.0,64,49.0,11,190,24,29.82
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 14:55,FM-15,SCT:04 65,10,,86,72.0,64,49.0,13,VRB,23,29.81
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 15:15,FM-15,SCT:04 55,10,,86,72.0,64,49.0,15,190,25,29.79
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 15:35,FM-15,SCT:04 55,10,,86,72.0,64,49.0,15,VRB,29,29.78
WBAN:03730,WILLIAMSBURG JAMESTOWN AIRPORT VA US,14.9,37.23917,-76.71611,5/1/2017 15:55,FM-15,CLR:00,10,,86,71.0,63,46.0,14,VRB,24,29.76
